step,loss,mse_loss,pred_action_norm,target_action_norm,grad_norm
50,0.37217700481414795,0.37217700481414795,1.1500928401947021,2.0039210319519043,0.694103479385376
100,0.229140967130661,0.229140967130661,1.4917242527008057,2.1082210540771484,1.1994723081588745
150,0.22708608210086823,0.22708608210086823,1.6331371068954468,2.053394317626953,1.1305080652236938
200,0.19994093477725983,0.19994093477725983,1.6559240818023682,2.060363292694092,1.0197395086288452
250,0.1818607598543167,0.1818607598543167,1.8474637269973755,2.1580028533935547,1.210655689239502
300,0.1849135458469391,0.1849135458469391,1.738318681716919,2.004368543624878,2.1202733516693115
350,0.17445899546146393,0.17445899546146393,1.9313788414001465,2.186969041824341,1.9216300249099731
400,0.15622681379318237,0.15622681379318237,1.617933750152588,1.8813722133636475,2.5488009452819824
450,0.1576474905014038,0.1576474905014038,1.8222006559371948,2.0119082927703857,1.1298109292984009
500,0.15944737195968628,0.15944737195968628,2.0342156887054443,2.247187614440918,2.2893788814544678
550,0.12450368702411652,0.12450368702411652,1.8086094856262207,1.96201491355896,1.1983197927474976
600,0.12363312393426895,0.12363312393426895,1.8484926223754883,2.0554795265197754,1.2460873126983643
650,0.131311297416687,0.131311297416687,1.7680695056915283,1.8951005935668945,1.5029077529907227
700,0.11900720000267029,0.11900720000267029,2.052079200744629,2.245818614959717,1.04714035987854
750,0.09077965468168259,0.09077965468168259,1.9648281335830688,2.097508430480957,0.9963750243186951
800,0.10322901606559753,0.10322901606559753,1.920459508895874,2.064962863922119,1.2282249927520752
850,0.13332417607307434,0.13332417607307434,1.8490594625473022,1.9956605434417725,1.6342568397521973
900,0.13689999282360077,0.13689999282360077,1.8551206588745117,2.0708703994750977,1.2348031997680664
950,0.10834462940692902,0.10834462940692902,2.018376111984253,2.1465394496917725,1.838861107826233
1000,0.08982089906930923,0.08982089906930923,1.9225780963897705,2.024078845977783,1.3884354829788208
1050,0.10813320428133011,0.10813320428133011,1.95150887966156,2.059297561645508,1.2119721174240112
1100,0.07257037609815598,0.07257037609815598,2.006213665008545,2.135288715362549,1.051018476486206
1150,0.06629803031682968,0.06629803031682968,1.9644908905029297,2.01237154006958,0.9912330508232117
1200,0.08418897539377213,0.08418897539377213,1.9104576110839844,1.9149500131607056,1.0246102809906006
1250,0.08594406396150589,0.08594406396150589,2.0302348136901855,2.120119571685791,1.5182771682739258
1300,0.08829985558986664,0.08829985558986664,1.9040623903274536,2.0412328243255615,1.420063853263855
1350,0.07993960380554199,0.07993960380554199,1.9725559949874878,2.070181369781494,1.1065601110458374
1400,0.07987002283334732,0.07987002283334732,1.9497588872909546,2.0603930950164795,1.2409389019012451
1450,0.08429794758558273,0.08429794758558273,2.0461885929107666,2.133842945098877,1.2198172807693481
1500,0.08101804554462433,0.08101804554462433,2.064631938934326,2.1818995475769043,1.4382587671279907
1550,0.06063961237668991,0.06063961237668991,1.997496485710144,2.0244300365448,0.9248629808425903
1600,0.07204502075910568,0.07204502075910568,1.909994125366211,1.9813755750656128,1.3134535551071167
1650,0.06654403358697891,0.06654403358697891,1.9375001192092896,2.017157793045044,0.6985270977020264
1700,0.06604906916618347,0.06604906916618347,1.7927616834640503,1.8773597478866577,1.1968613862991333
1750,0.0530836395919323,0.0530836395919323,1.9347994327545166,1.9419111013412476,0.8343682289123535
1800,0.06330199539661407,0.06330199539661407,1.9902793169021606,2.0779531002044678,1.0254743099212646
1850,0.047386471182107925,0.047386471182107925,2.036764621734619,2.0235226154327393,0.8728641867637634
1900,0.06725962460041046,0.06725962460041046,1.9024558067321777,1.92850661277771,1.3064887523651123
1950,0.06548465043306351,0.06548465043306351,2.0600411891937256,2.124131679534912,1.1887568235397339
2000,0.061390701681375504,0.061390701681375504,1.9771089553833008,1.9787123203277588,1.0854183435440063
2050,0.056040577590465546,0.056040577590465546,2.000605344772339,2.027412176132202,1.038914680480957
2100,0.049756236374378204,0.049756236374378204,2.013576030731201,2.069248676300049,0.8195610642433167
2150,0.04306617006659508,0.04306617006659508,2.093287944793701,2.103433609008789,0.5834662914276123
2200,0.055527571588754654,0.055527571588754654,2.1102797985076904,2.190235137939453,0.7837581038475037
2250,0.05387968569993973,0.05387968569993973,1.9605381488800049,1.9689736366271973,0.9759083390235901
2300,0.047162652015686035,0.047162652015686035,1.9045363664627075,1.9336705207824707,0.8604828119277954
2350,0.05349798500537872,0.05349798500537872,1.9914233684539795,1.984250783920288,1.0149619579315186
2400,0.04611584171652794,0.04611584171652794,1.88905930519104,1.9111175537109375,0.8879513740539551
2450,0.0455450639128685,0.0455450639128685,2.0309576988220215,1.9829790592193604,0.8845824599266052
2500,0.04719280079007149,0.04719280079007149,2.102827310562134,2.115107536315918,0.8247974514961243
