step,loss,ce_loss,accuracy,grad_norm
1,5.587563991546631,5.587563991546631,0.008321775123476982,6.30668830871582
2,5.3170166015625,5.3170166015625,0.07200929522514343,4.3650617599487305
3,5.167359828948975,5.167359828948975,0.08198757469654083,4.1764326095581055
4,5.086779594421387,5.086779594421387,0.12871287763118744,3.479309558868408
5,5.021266460418701,5.021266460418701,0.09852216392755508,3.0633883476257324
6,4.864345073699951,4.864345073699951,0.1674107164144516,2.9684951305389404
7,4.88046932220459,4.88046932220459,0.1272321492433548,2.2054402828216553
8,4.851222038269043,4.851222038269043,0.10884353518486023,2.3501057624816895
9,4.850700378417969,4.850700378417969,0.12311265617609024,1.941047191619873
10,4.8042168617248535,4.8042168617248535,0.12543554604053497,2.206235408782959
11,4.67094612121582,4.67094612121582,0.1259079873561859,2.3136179447174072
12,4.735023498535156,4.735023498535156,0.1294642835855484,2.4711790084838867
13,4.67594575881958,4.67594575881958,0.1439732164144516,1.8855295181274414
14,4.610564708709717,4.610564708709717,0.13928571343421936,2.292965888977051
15,4.7314887046813965,4.7314887046813965,0.13780024647712708,1.8478788137435913
16,4.700376987457275,4.700376987457275,0.12332112342119217,1.855568289756775
17,4.652721881866455,4.652721881866455,0.1473214328289032,1.7963389158248901
18,4.56376838684082,4.56376838684082,0.1640625,2.1421713829040527
19,4.508425712585449,4.508425712585449,0.1450892835855484,2.35980224609375
20,4.6395263671875,4.6395263671875,0.1417410671710968,1.5334433317184448
21,4.438548564910889,4.438548564910889,0.1655328869819641,1.80609929561615
22,4.651079177856445,4.651079177856445,0.13913042843341827,1.435820460319519
23,4.603596210479736,4.603596210479736,0.14778324961662292,1.834283471107483
24,4.6182861328125,4.6182861328125,0.14953270554542542,1.5497205257415771
25,4.539724826812744,4.539724826812744,0.1729910671710968,1.5133274793624878
26,4.536322116851807,4.536322116851807,0.1729910671710968,1.9713813066482544
27,4.440075397491455,4.440075397491455,0.17913831770420074,1.660285472869873
28,4.3969597816467285,4.3969597816467285,0.16198979318141937,1.7658945322036743
29,4.6243743896484375,4.6243743896484375,0.13423645496368408,1.437749981880188
30,4.479936122894287,4.479936122894287,0.1340206116437912,1.7732166051864624
31,4.397726535797119,4.397726535797119,0.1706700325012207,1.7509583234786987
32,4.60162353515625,4.60162353515625,0.1495535671710968,1.6758537292480469
33,4.462520122528076,4.462520122528076,0.1395089328289032,1.9493191242218018
34,4.396114826202393,4.396114826202393,0.14170506596565247,1.6277292966842651
35,4.384703636169434,4.384703636169434,0.1506696492433548,1.642608404159546
36,4.50264310836792,4.50264310836792,0.1729910671710968,1.605454921722412
37,4.423335552215576,4.423335552215576,0.182227224111557,1.5669623613357544
38,4.351288318634033,4.351288318634033,0.2265625,1.719145655632019
39,4.527516841888428,4.527516841888428,0.16914285719394684,1.2238291501998901
40,4.526965618133545,4.526965618133545,0.1796875,1.1371432542800903
41,4.47687292098999,4.47687292098999,0.2064732164144516,2.2156946659088135
42,4.395805835723877,4.395805835723877,0.20852534472942352,1.6050260066986084
43,4.29034948348999,4.29034948348999,0.2421875,1.4775241613388062
